	TIME:	31-Dec-59	12:00	to	31-Dec-10	12:00							
	LONGITUDE:	35.8E											
	LATITUDE:	3.3N											
	Column	01:00	PRED	is	"PRE[D=cru_ts4.03.1901.2018.pre.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	02:00	PETD	is	"PET[D=cru_ts4.03.1901.2018.pet.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	03:00	CLDD	is	"CLD[D=cru_ts4.03.1901.2018.cld.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	04:00	DTRD	is	"DTR[D=cru_ts4.03.1901.2018.dtr.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	05:00	TMPD	is	"TMP[D=cru_ts4.03.1901.2018.tmp.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	06:00	TMND	is	"TMN[D=cru_ts4.03.1901.2018.tmn.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	07:00	TMXD	is	"TMX[D=cru_ts4.03.1901.2018.tmx.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	08:00	VAPD	is	"VAP[D=cru_ts4.03.1901.2018.vap.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	09:00	WETD	is	"WET[D=cru_ts4.03.1901.2018.wet.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	10:00	FRSD	is	"FRS[D=cru_ts4.03.1901.2018.frs.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
				PRED	PETD	CLDD	DTRD	TMPD	TMND	TMXD	VAPD	WETD	FRSD
15-Feb-93	0	/	1106:00:00	25.7	6.6	42.2	13.7	28.8	22	35.7	17.3	7.55	0
16-Mar-93	0	/	1107:00:00	6.1	6.8	47.2	13	29.7	23.2	36.2	19.1	3.23	0
16-Apr-93	0	/	1108:00:00	31.8	5.8	58.7	11.2	29.9	24.3	35.5	22.4	6.06	0
16-May-93	0	/	1109:00:00	66.2	5.6	57.9	10.5	29.2	24	34.5	21.7	11.31	0
16-Jun-93	0	/	1110:00:00	11.4	5.7	52.3	10.5	28.8	23.6	34.1	20.7	6.47	0
16-Jul-93	0	/	1111:00:00	6.8	5.6	57.8	10.3	28.2	23.1	33.4	20	2.74	0
16-Aug-93	0	/	1112:00:00	2.5	6	51.8	10.6	28.6	23.3	33.9	19.6	3.05	0
16-Sep-93	0	/	1113:00:00	3.2	6.4	44	11.6	29.1	23.3	34.9	19.1	2.8	0
16-Oct-93	0	/	1114:00:00	4.6	6.5	50.9	11.4	29.3	23.6	35	18.5	4.39	0
16-Nov-93	0	/	1115:00:00	13.4	6.2	47.2	11.5	29.8	24.1	35.6	19.3	4.27	0
16-Dec-93	0	/	1116:00:00	7.9	5.9	42	14.1	28.1	21.1	35.2	17.8	3.18	0
16-Jan-94	0	/	1117:00:00	1.1	6.4	38.2	14.6	28.1	20.8	35.4	16.6	1.47	0
15-Feb-94	0	/	1118:00:00	0.6	6.9	37.2	14.1	29.7	22.7	36.8	18	0.81	0
16-Mar-94	0	/	1119:00:00	17.8	6.4	55.3	11.7	29.7	23.9	35.6	20.5	4.7	0
16-Apr-94	0	/	1120:00:00	39.7	5.7	59.4	11.2	29.6	24	35.2	23	7.16	0
16-May-94	0	/	1121:00:00	23.2	5.6	57.6	10.5	29.3	24.1	34.6	21.7	6.52	0
16-Jun-94	0	/	1122:00:00	10.7	5.6	55.6	10.2	28.9	23.8	34	20.7	5.64	0
16-Jul-94	0	/	1123:00:00	27.9	5.4	58.9	9.3	28	23.4	32.7	20.3	7.32	0
16-Aug-94	0	/	1124:00:00	6.2	5.7	55.5	9.6	28.3	23.5	33.1	19.9	6.85	0
16-Sep-94	0	/	1125:00:00	2.2	6.4	45.8	11	29.3	23.8	34.8	19.3	2.84	0
16-Oct-94	0	/	1126:00:00	12.4	6.4	54.4	10.8	29.7	24.3	35.1	19.1	7.72	0
16-Nov-94	0	/	1127:00:00	45	5.7	59.1	11.3	28.3	22.7	34	18.6	7.27	0
16-Dec-94	0	/	1128:00:00	9.5	5.7	48.9	12.3	28.3	22.2	34.5	17.7	3.76	0
16-Jan-95	0	/	1129:00:00	2.6	6.5	38.7	14.3	28.5	21.4	35.7	16.3	1.36	0
15-Feb-95	0	/	1130:00:00	13.3	6.8	47	13.9	29.8	22.9	36.8	17.7	5.9	0
16-Mar-95	0	/	1131:00:00	15.6	6.6	57.7	13	30.1	23.6	36.6	19.5	4.74	0
16-Apr-95	0	/	1132:00:00	67	5.9	59.2	11.4	30.3	24.6	36	22.8	8.92	0
16-May-95	0	/	1133:00:00	23.9	5.6	54.6	10.6	29.5	24.2	34.8	22.7	6.25	0
16-Jun-95	0	/	1134:00:00	5	5.7	51.7	10.1	29.2	24.2	34.3	21.5	3.95	0
16-Jul-95	0	/	1135:00:00	12.8	5.5	56.7	9.7	28.3	23.5	33.2	20.9	5.13	0
16-Aug-95	0	/	1136:00:00	3.7	6	51.7	10.4	28.7	23.5	33.9	19.9	4.71	0
16-Sep-95	0	/	1137:00:00	9.6	6.4	49.2	10.9	29.6	24.2	35.1	19.6	8.56	0
16-Oct-95	0	/	1138:00:00	11.8	6.3	58.4	9.9	30.1	25.2	35.1	20.1	7.08	0
16-Nov-95	0	/	1139:00:00	30.3	5.8	54.6	9.3	29.3	24.7	34	19.8	6.42	0
16-Dec-95	0	/	1140:00:00	10.3	5.8	49.9	13	29.1	22.6	35.6	18.4	4.68	0
16-Jan-96	0	/	1141:00:00	17.8	6.5	43.8	14.1	29.4	22.4	36.5	17.3	6.7	0
15-Feb-96	0	/	1142:00:00	8.2	6.7	46.3	13.6	30.1	23.3	36.9	18.5	4.01	0
16-Mar-96	0	/	1143:00:00	27.3	6.6	55	12.6	30.3	24	36.6	20.4	6.21	0
16-Apr-96	0	/	1144:00:00	37.5	5.6	65.6	11.2	29.8	24.2	35.4	23	6.75	0
16-May-96	0	/	1145:00:00	18.4	5.6	56.4	10.3	29.5	24.4	34.7	22.8	5.8	0
16-Jun-96	0	/	1146:00:00	22.9	5.6	52.5	10.5	28.7	23.5	34	21.3	8.51	0
16-Jul-96	0	/	1147:00:00	19.8	5.4	61.3	9.9	28.2	23.3	33.2	20.2	6.96	0
16-Aug-96	0	/	1148:00:00	4.5	5.8	55.8	9.7	28.2	23.4	33.1	19.4	4.78	0
16-Sep-96	0	/	1149:00:00	6.1	6.3	49.1	11.1	29.3	23.8	34.9	19.2	5.2	0
16-Oct-96	0	/	1150:00:00	2.3	6.4	53.8	11.3	29.7	24.1	35.4	19.1	2.32	0
16-Nov-96	0	/	1151:00:00	21.8	5.8	53.8	11	28.6	23.1	34.1	18.8	6.03	0
16-Dec-96	0	/	1152:00:00	3	5.8	53	13.3	28.4	21.8	35.1	17.2	1.72	0
16-Jan-97	0	/	1153:00:00	3.2	6.3	51.2	13.7	29	22.2	35.9	16.8	2.45	0
15-Feb-97	0	/	1154:00:00	0	6.7	42.8	13.4	29.4	22.7	36.1	17.6	0	0
16-Mar-97	0	/	1155:00:00	14.1	6.7	55.3	12.6	30.4	24.1	36.7	19.7	4.34	0
16-Apr-97	0	/	1156:00:00	105.9	5.4	73.3	11.2	29.4	23.8	35	22	11.19	0
16-May-97	0	/	1157:00:00	9.4	5.6	55.8	10.5	29.3	24.1	34.6	22	3.91	0
16-Jun-97	0	/	1158:00:00	4.8	5.6	52.5	10.2	28.9	23.8	34	21	3.43	0
16-Jul-97	0	/	1159:00:00	16.3	5.5	59.9	9.8	28.4	23.5	33.3	20.4	6.05	0
16-Aug-97	0	/	1160:00:00	8.1	5.8	55.7	10.2	28.5	23.4	33.6	19.8	7.52	0
16-Sep-97	0	/	1161:00:00	1.2	6.5	48.6	11.1	30.1	24.6	35.7	19.8	2.36	0
16-Oct-97	0	/	1162:00:00	27.4	6.5	53.8	10.9	30	24.6	35.5	19.4	11.46	0
16-Nov-97	0	/	1163:00:00	75.7	5.8	53.8	11	28.9	23.4	34.4	19.1	10.54	0
16-Dec-97	0	/	1164:00:00	31.3	5.8	54	13	28.8	22.3	35.3	17.5	7.28	0
16-Jan-98	0	/	1165:00:00	21.2	6.5	43.8	13.7	29.4	22.6	36.3	17.3	7.83	0
15-Feb-98	0	/	1166:00:00	12	6.6	53.4	13.4	30.1	23.4	36.8	18.3	5.58	0
16-Mar-98	0	/	1167:00:00	12.1	6.8	50.3	12.6	30.4	24.1	36.7	20	3.64	0
16-Apr-98	0	/	1168:00:00	40.8	5.7	66.8	11.2	30.2	24.6	35.8	22.1	7	0
16-May-98	0	/	1169:00:00	35.7	5.6	55	10.5	29	23.8	34.3	22	7.91	0
16-Jun-98	0	/	1170:00:00	22.5	5.7	51.7	10.4	29	23.8	34.2	20.5	8.46	0
16-Jul-98	0	/	1171:00:00	18.9	5.5	60.2	9.8	28.6	23.7	33.5	20.2	5.81	0
16-Aug-98	0	/	1172:00:00	7.5	5.8	55.6	10.2	28.3	23.2	33.4	19.7	7.95	0
16-Sep-98	0	/	1173:00:00	3.6	6.4	49.2	11.1	29.5	24	35.1	19.3	3.27	0
16-Oct-98	0	/	1174:00:00	9.7	6.4	53.8	10.4	30.3	25.1	35.5	20	5.94	0
16-Nov-98	0	/	1175:00:00	24.1	5.9	53.8	11.4	28.6	22.9	34.3	18.2	5.46	0
16-Dec-98	0	/	1176:00:00	2.4	5.8	47.5	13.8	28.3	21.4	35.2	17.3	1.78	0
16-Jan-99	0	/	1177:00:00	16.2	6.2	57.1	13.5	28.8	22.1	35.6	16.6	5.14	0
15-Feb-99	0	/	1178:00:00	0.6	6.9	45.1	13.8	30.1	23.2	37	17.5	0.79	0
16-Mar-99	0	/	1179:00:00	39.9	6.6	57.2	12.6	30.3	24	36.6	20	7.19	0
16-Apr-99	0	/	1180:00:00	47.4	5.6	69.2	11.2	29.9	24.3	35.5	22.2	7.67	0
16-May-99	0	/	1181:00:00	13.9	5.7	56.8	10.5	29.6	24.4	34.9	21.8	4.78	0
16-Jun-99	0	/	1182:00:00	4.6	5.6	52.7	10.4	28.9	23.7	34.1	20.9	3.47	0
16-Jul-99	0	/	1183:00:00	16.6	5.5	59.3	9.8	28.2	23.3	33.1	20.2	6.09	0
16-Aug-99	0	/	1184:00:00	6.7	5.6	58.4	10.2	27.8	22.7	32.9	19.2	6.27	0
16-Sep-99	0	/	1185:00:00	7	6.4	46.3	11.1	29.3	23.8	34.9	19.1	5.8	0
16-Oct-99	0	/	1186:00:00	28.3	6.2	53.6	9.9	29.2	24.3	34.2	19.4	10.24	0
16-Nov-99	0	/	1187:00:00	25.1	5.8	53.8	11.1	28.4	22.9	34	18.4	5.72	0
16-Dec-99	0	/	1188:00:00	15.3	5.8	47.5	13	28.3	21.8	34.8	17.5	4.86	0
16-Jan-00	0	/	1189:00:00	4.4	6.4	43.8	14.1	28.3	21.3	35.4	15.7	2.72	0
15-Feb-00	0	/	1190:00:00	2.7	6.6	46.5	13.4	29.1	22.4	35.8	16.9	1.78	0
16-Mar-00	0	/	1191:00:00	15.8	6.3	67.5	13	30.3	23.8	36.8	19.9	4.19	0
16-Apr-00	0	/	1192:00:00	52.8	5.7	67.7	11.4	30.3	24.6	36	22.6	7.75	0
16-May-00	0	/	1193:00:00	22.8	5.7	55.6	10.7	29.8	24.5	35.2	22.3	5.56	0
16-Jun-00	0	/	1194:00:00	10.7	5.6	53.2	10.8	28.7	23.3	34.1	20.7	5.19	0
16-Jul-00	0	/	1195:00:00	17	5.6	57.5	9.5	28.8	24.1	33.6	20.7	5.51	0
16-Aug-00	0	/	1196:00:00	6.3	6	53.8	10.5	28.9	23.7	34.2	20.1	6.15	0
16-Sep-00	0	/	1197:00:00	7	6.3	49.1	11.8	29.3	23.4	35.2	19.3	5.82	0
16-Oct-00	0	/	1198:00:00	14.2	6.2	54.3	10.9	29.3	23.9	34.8	19.5	7.41	0
16-Nov-00	0	/	1199:00:00	23.5	6.2	53.8	11.8	30.3	24.4	36.2	19.1	5.41	0
16-Dec-00	0	/	1200:00:00	11.5	5.8	47.5	13.2	28.5	21.9	35.1	17.9	4.09	0
16-Jan-01	0	/	1201:00:00	21.1	6.5	43.8	13.9	29.4	22.5	36.4	17.1	8.61	0
15-Feb-01	0	/	1202:00:00	2.2	6.8	46.3	13.4	30.5	23.8	37.2	18.5	2.75	0
16-Mar-01	0	/	1203:00:00	20.1	6.8	53.1	12.3	30.8	24.7	37	20.4	5.03	0
16-Apr-01	0	/	1204:00:00	37.1	5.8	62.5	11.3	30.3	24.7	36	22.7	6.48	0
16-May-01	0	/	1205:00:00	18.1	5.7	56.8	10.6	29.9	24.6	35.2	22.3	5.2	0
16-Jun-01	0	/	1206:00:00	9.3	5.6	52.8	10.2	28.7	23.6	33.8	20.8	4.91	0
16-Jul-01	0	/	1207:00:00	16.7	5.5	59.9	9.7	28.5	23.7	33.4	20.4	7.01	0
16-Aug-01	0	/	1208:00:00	7.3	5.9	53.8	10.2	28.5	23.4	33.6	19.6	8	0
16-Sep-01	0	/	1209:00:00	1.7	6.5	49.2	11.4	30	24.3	35.7	19.7	4.46	0
16-Oct-01	0	/	1210:00:00	7.5	6.6	53.8	10.9	30.7	25.3	36.2	19.8	6.79	0
16-Nov-01	0	/	1211:00:00	26.1	5.9	53.8	11.3	29.1	23.5	34.8	19	5.94	0
16-Dec-01	0	/	1212:00:00	5.1	6	47.5	13.7	29	22.2	35.9	17.6	3.18	0
16-Jan-02	0	/	1213:00:00	8.4	6.4	43.8	13.7	29.1	22.3	36	17.1	4.51	0
15-Feb-02	0	/	1214:00:00	17	6.7	51.9	13.4	30.7	24	37.4	18.9	6.29	0
16-Mar-02	0	/	1215:00:00	21	6.7	53.8	12.6	30.9	24.6	37.2	20.6	5.09	0
16-Apr-02	0	/	1216:00:00	57.2	5.6	70.7	11.2	30.7	25.1	36.3	23.4	8.25	0
16-May-02	0	/	1217:00:00	27.4	5.9	56.5	10.5	30.6	25.4	35.9	22.9	6.72	0
16-Jun-02	0	/	1218:00:00	3.8	5.8	52.5	10.4	29.5	24.3	34.7	21.3	3.25	0
16-Jul-02	0	/	1219:00:00	9.6	5.7	57.5	9.8	29.1	24.2	34	20.7	3.43	0
16-Aug-02	0	/	1220:00:00	3.2	6.1	53.8	10.5	29.3	24.1	34.6	20.2	3.72	0
16-Sep-02	0	/	1221:00:00	1.8	6.6	46.3	11.7	30.3	24.5	36.2	19.9	2.49	0
16-Oct-02	0	/	1222:00:00	15.7	6.5	53.8	11.1	30.1	24.6	35.7	19.5	10.24	0
16-Nov-02	0	/	1223:00:00	18.9	5.9	53.8	10.4	29.6	24.4	34.8	20.2	4.91	0
16-Dec-02	0	/	1224:00:00	41.9	6	47.5	13	29.6	23.1	36.1	18.9	10.55	0
16-Jan-03	0	/	1225:00:00	0.9	6.6	43	13.7	29.7	22.9	36.6	17.6	0.67	0
15-Feb-03	0	/	1226:00:00	5.2	7	44.8	14.1	30.9	23.9	38	18.8	2.23	0
16-Mar-03	0	/	1227:00:00	39.8	7	45.6	12.5	31	24.8	37.3	20.5	7.01	0
16-Apr-03	0	/	1228:00:00	84.5	5.9	61.7	11.3	30.8	25.2	36.5	23.1	9.83	0
16-May-03	0	/	1229:00:00	31.2	5.8	56	10.1	30.4	25.4	35.5	22.9	6.9	0
16-Jun-03	0	/	1230:00:00	8.7	5.7	52.3	10.1	29.3	24.3	34.4	21.5	4.8	0
16-Jul-03	0	/	1231:00:00	19	5.6	56.8	9.7	28.9	24.1	33.8	21	5.7	0
16-Aug-03	0	/	1232:00:00	6	5.9	53.8	10.2	28.7	23.6	33.8	20.2	5.9	0
16-Sep-03	0	/	1233:00:00	5.1	6.4	46.9	10.1	29.8	24.8	34.9	20.4	4.86	0
16-Oct-03	0	/	1234:00:00	12	6.5	53.8	10.9	30	24.6	35.5	19.5	6.7	0
16-Nov-03	0	/	1235:00:00	19.7	6	52.5	10.7	29.4	24.1	34.8	19.5	4.73	0
16-Dec-03	0	/	1236:00:00	16	6.1	46.3	13.5	29.7	23	36.5	18.6	5.03	0
16-Jan-04	0	/	1237:00:00	11.6	6.5	43.8	13.2	30.1	23.5	36.7	18.3	5.14	0
15-Feb-04	0	/	1238:00:00	7.4	6.9	45.4	13.9	30.6	23.7	37.6	18.6	3.3	0
16-Mar-04	0	/	1239:00:00	24	6.7	54.1	13.1	30.4	23.9	37	20.5	5.3	0
16-Apr-04	0	/	1240:00:00	62	5.6	62.8	10.3	29.8	24.7	35	22.9	8.4	0
16-May-04	0	/	1241:00:00	28	5.8	54.8	10.2	30.4	25.3	35.5	22.6	6.5	0
16-Jun-04	0	/	1242:00:00	9	5.7	52.2	10.2	29.5	24.4	34.6	21.6	4.8	0
16-Jul-04	0	/	1243:00:00	19	5.7	56.5	10	28.9	23.9	33.9	20.7	5.7	0
16-Aug-04	0	/	1244:00:00	6	6.1	52.8	10.7	29.1	23.8	34.5	20.1	5.9	0
16-Sep-04	0	/	1245:00:00	7.3	6.5	45.8	11.1	29.6	24.1	35.2	19.5	5.95	0
16-Oct-04	0	/	1246:00:00	11.9	6.4	53.3	10.9	29.8	24.4	35.3	19.7	6.97	0
16-Nov-04	0	/	1247:00:00	31	5.9	53.3	10.9	29.1	23.7	34.6	18.9	6.2	0
16-Dec-04	0	/	1248:00:00	15	5.9	47.1	12.8	29.2	22.8	35.6	18	4.5	0
16-Jan-05	0	/	1249:00:00	9	6.4	42.6	14.1	28.4	21.4	35.5	16.1	4.1	0
15-Feb-05	0	/	1250:00:00	12	7.1	44.9	13.9	31	24.1	38	17.5	4.5	0
16-Mar-05	0	/	1251:00:00	24	6.8	55.2	11.9	31.1	25.2	37.1	20.5	5.3	0
16-Apr-05	0	/	1252:00:00	47.1	6.2	54.2	11.6	31.1	25.3	36.9	23	7.42	0
16-May-05	0	/	1253:00:00	28	5.7	55.1	10	29.7	24.7	34.7	22.3	6.5	0
16-Jun-05	0	/	1254:00:00	9	5.7	52.3	10.1	29.1	24.1	34.2	21.1	4.8	0
16-Jul-05	0	/	1255:00:00	19	5.6	57.1	9.5	28.5	23.8	33.3	20.5	5.7	0
16-Aug-05	0	/	1256:00:00	6	6	53.2	10.2	29	23.9	34.1	19.9	5.9	0
16-Sep-05	0	/	1257:00:00	7	6.6	45.8	11.1	30.2	24.7	35.8	19.8	5.7	0
16-Oct-05	0	/	1258:00:00	12	6.4	53.5	10.7	30	24.7	35.4	19.6	6.7	0
16-Nov-05	0	/	1259:00:00	21.7	5.9	52.9	10.4	29.4	24.2	34.6	19.9	5.12	0
16-Dec-05	0	/	1260:00:00	15	6.2	44.8	14.4	29.4	22.2	36.6	17.6	4.5	0
16-Jan-06	0	/	1261:00:00	9	6.6	42.9	13.9	29.5	22.6	36.5	17.1	4.1	0
15-Feb-06	0	/	1262:00:00	10.6	7	44.8	13.8	30.8	23.9	37.7	18.5	4.5	0
16-Mar-06	0	/	1263:00:00	27.4	6.9	52.4	13.5	30.9	24.2	37.7	20.3	5.81	0
16-Apr-06	0	/	1264:00:00	51.8	6	54.6	11	30.3	24.8	35.8	23	7.8	0
16-May-06	0	/	1265:00:00	22.7	5.7	54.6	10.5	29.3	24.1	34.6	21.6	5.92	0
16-Jun-06	0	/	1266:00:00	7	5.8	51.9	10.3	29.3	24.2	34.5	21	4.19	0
16-Jul-06	0	/	1267:00:00	15.9	5.6	56.5	10	28.9	23.9	33.9	20.9	5.24	0
16-Aug-06	0	/	1268:00:00	6.9	5.9	53.6	9.9	29	24.1	34	20.6	6.37	0
16-Sep-06	0	/	1269:00:00	9	6.4	46.1	10.9	29.4	24	34.9	19.7	6.55	0
16-Oct-06	0	/	1270:00:00	12	6.5	53.6	10.6	30.5	25.2	35.8	20.4	6.7	0
16-Nov-06	0	/	1271:00:00	31	5.9	53.8	11	29.6	24.1	35.1	20.2	6.2	0
16-Dec-06	0	/	1272:00:00	15	5.7	48.2	11.8	29.3	23.4	35.2	19.5	4.5	0
16-Jan-07	0	/	1273:00:00	9	6.5	43.6	13.3	29.5	22.9	36.2	17.8	4.1	0
15-Feb-07	0	/	1274:00:00	12	6.9	45.6	13.3	30.8	24.2	37.5	18.6	4.5	0
16-Mar-07	0	/	1275:00:00	24	7	53.6	13.5	31.3	24.6	38.1	20.1	5.3	0
16-Apr-07	0	/	1276:00:00	62	5.9	62.3	10.7	30.7	25.4	36.1	23	8.4	0
16-May-07	0	/	1277:00:00	28	5.9	54.3	10.6	30.6	25.3	35.9	22.9	6.5	0
16-Jun-07	0	/	1278:00:00	9	5.6	52.5	10.4	28.7	23.5	33.9	20.9	4.8	0
16-Jul-07	0	/	1279:00:00	24	5.6	56.6	10	28.2	23.2	33.2	19.5	6.48	0
16-Aug-07	0	/	1280:00:00	24.8	5.9	53.5	10	28.6	23.6	33.6	20	17.74	0
16-Sep-07	0	/	1281:00:00	26	6.5	45.9	11.2	29.9	24.3	35.5	19.4	18.73	0
16-Oct-07	0	/	1282:00:00	3	6.6	53.1	10.9	30.3	24.9	35.8	19.5	2.2	0
16-Nov-07	0	/	1283:00:00	5.8	5.9	53.2	11	28.8	23.3	34.3	18.6	3.71	0
16-Dec-07	0	/	1284:00:00	15	6	47	12.9	29.5	23.1	36	18.3	4.5	0
16-Jan-08	0	/	1285:00:00	9	6.7	42.8	14	30.2	23.2	37.2	17.3	4.1	0
15-Feb-08	0	/	1286:00:00	12	7	45.2	13.7	30.9	24.1	37.8	18.6	4.5	0
16-Mar-08	0	/	1287:00:00	31.9	6.6	55.5	12.2	30.6	24.5	36.7	20.5	7.11	0
16-Apr-08	0	/	1288:00:00	43.6	5.7	61.7	11.2	29.8	24.2	35.4	22.3	7.27	0
16-May-08	0	/	1289:00:00	28	5.7	54.6	10.4	29.6	24.4	34.8	22.4	6.5	0
16-Jun-08	0	/	1290:00:00	9	5.7	51.7	10.5	29.2	24	34.5	21.1	4.8	0
16-Jul-08	0	/	1291:00:00	18.4	5.6	56.9	9.6	28.7	23.9	33.5	20.7	5.75	0
16-Aug-08	0	/	1292:00:00	8.1	6	53.5	10	29.3	24.3	34.3	20.4	6.82	0
16-Sep-08	0	/	1293:00:00	8	6.6	46.4	10.6	30.6	25.3	35.9	20.7	10.96	0
16-Oct-08	0	/	1294:00:00	36.9	6.4	54	10.2	30.1	25	35.2	20.1	16.35	0
16-Nov-08	0	/	1295:00:00	39.2	5.9	53.2	11	29.3	23.8	34.8	19.5	8.89	0
16-Dec-08	0	/	1296:00:00	6.3	5.8	46.7	13.2	28.4	21.8	35	18	2.51	0
16-Jan-09	0	/	1297:00:00	8.6	6.5	43.8	13.7	29.4	22.6	36.3	17.7	5.8	0
15-Feb-09	0	/	1298:00:00	12	6.8	46.3	13.4	30.6	23.9	37.3	18.7	4.5	0
16-Mar-09	0	/	1299:00:00	13.8	6.8	54.1	12.3	31.2	25.1	37.4	21	4.05	0
16-Apr-09	0	/	1300:00:00	35.4	6	62.3	10.8	30.9	25.5	36.3	22.7	4.97	0
16-May-09	0	/	1301:00:00	30.8	5.9	55	10.5	30.4	25.2	35.7	22.5	8	0
16-Jun-09	0	/	1302:00:00	5.4	5.9	52.5	10.4	29.9	24.7	35.1	21.4	3.76	0
16-Jul-09	0	/	1303:00:00	19	5.7	57.5	9.8	29.4	24.5	34.3	21.6	5.7	0
16-Aug-09	0	/	1304:00:00	5.1	6.1	53.8	10.2	29.8	24.7	34.9	20.6	5.57	0
16-Sep-09	0	/	1305:00:00	7.1	6.6	46.3	11.1	30.6	25.1	36.2	20.2	5.92	0
16-Oct-09	0	/	1306:00:00	19.1	6.6	53.5	10.9	30.7	25.3	36.2	19.9	12	0
16-Nov-09	0	/	1307:00:00	13.6	6	53.8	11	29.9	24.4	35.4	20.1	4.56	0
16-Dec-09	0	/	1308:00:00	15	6.1	46.7	13	30.5	24	37	19.7	4.5	0
16-Jan-10	0	/	1309:00:00	13.7	6.4	43.8	13.7	29.5	22.7	36.4	18.3	5.68	0
15-Feb-10	0	/	1310:00:00	16.1	6.7	46.3	13.4	29.8	23.1	36.5	18.2	6.27	0
16-Mar-10	0	/	1311:00:00	38.9	6.7	55.3	12.6	31.1	24.8	37.4	21	6.72	0
16-Apr-10	0	/	1312:00:00	44.7	6.1	61.5	11.2	31.4	25.8	37	23.2	7.61	0
16-May-10	0	/	1313:00:00	33.2	5.9	55.9	10.5	30.5	25.3	35.8	22.4	8.23	0
16-Jun-10	0	/	1314:00:00	9	5.7	52.5	10.4	29.2	24	34.4	21	4.8	0
16-Jul-10	0	/	1315:00:00	19	5.7	57.5	9.8	29	24.1	33.9	20.4	5.7	0
16-Aug-10	0	/	1316:00:00	16.7	6	53.8	10.2	29.4	24.3	34.5	20.4	14.76	0
16-Sep-10	0	/	1317:00:00	7	6.6	46.3	11.1	30.2	24.7	35.8	19.9	5.7	0
16-Oct-10	0	/	1318:00:00	16.2	6.6	54.2	10.9	30.9	25.5	36.4	20	10.78	0
16-Nov-10	0	/	1319:00:00	24.5	6	53.2	11	29.8	24.3	35.3	19.7	5.82	0
16-Dec-10	0	/	1320:00:00	15	6.1	45.9	13	30.1	23.6	36.6	19	4.5	0
	TIME:	01-Jan	00:45	to	31-Dec	06:34							
	LONGITUDE:	35.8E											
	LATITUDE:	3.3N											
	Column	01:00	PRECLM	is	PRED[GT=MONTH_REG@MOD]								
	Column	02:00	PETCLM	is	PETD[GT=MONTH_REG@MOD]								
	Column	03:00	CLDCLM	is	CLDD[GT=MONTH_REG@MOD]								
	Column	04:00	DTRCLM	is	DTRD[GT=MONTH_REG@MOD]								
	Column	05:00	TMPCLM	is	TMPD[GT=MONTH_REG@MOD]								
	Column	06:00	TMNCLM	is	TMND[GT=MONTH_REG@MOD]								
	Column	07:00	TMXCLM	is	TMXD[GT=MONTH_REG@MOD]								
	Column	08:00	VAPCLM	is	VAPD[GT=MONTH_REG@MOD]								
	Column	09:00	WETCLM	is	WETD[GT=MONTH_REG@MOD]								
	Column	10:00	FRSCLM	is	FRSD[GT=MONTH_REG@MOD]								
			PRECLM	PETCLM	CLDCLM	DTRCLM	TMPCLM	TMNCLM	TMXCLM	VAPCLM	WETCLM	FRSCLM	
16-Jan	/	01:00	9.62	6.388	43.74	13.75	28.65	21.81	35.56	16.59	4.318	0	
15-Feb	/	02:00	10.79	6.722	46	13.5	29.65	22.93	36.43	17.63	4.204	0	
17-Mar	/	03:00	24.35	6.624	54.94	12.61	30.08	23.8	36.41	19.6	5.415	0	
16-Apr	/	04:00	57.95	5.737	62.53	11.18	29.73	24.15	35.33	21.96	8.108	0	
16-May	/	05:00	26.88	5.673	55.28	10.49	29.31	24.1	34.58	21.64	6.462	0	
16-Jun	/	06:00	9.2	5.635	53.07	10.39	28.65	23.48	33.87	20.35	4.864	0	
16-Jul	/	07:00	18.34	5.504	57.76	9.79	28.08	23.21	33	19.9	5.712	0	
16-Aug	/	08:00	6.38	5.855	53.87	10.21	28.19	23.11	33.32	19.26	6.214	0	
15-Sep	/	09:00	6.85	6.424	46.55	11.1	29.27	23.75	34.85	18.94	5.734	0	
16-Oct	/	10:00	12.49	6.408	53.84	10.85	29.68	24.29	35.14	19.05	7.027	0	
15-Nov	/	11:00	28.52	5.861	53.57	11.03	28.73	23.24	34.27	18.67	6.029	0	
16-Dec	/	12:00	15.06	5.861	47.33	13.07	28.61	22.1	35.17	17.65	4.595	0	
