	TIME:	31-Dec-59	12:00	to	31-Dec-10	12:00							
	LONGITUDE:	35.8E											
	LATITUDE:	3.3N											
	Column	01:00	PRED	is	"PRE[D=cru_ts4.03.1901.2018.pre.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	02:00	PETD	is	"PET[D=cru_ts4.03.1901.2018.pet.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	03:00	CLDD	is	"CLD[D=cru_ts4.03.1901.2018.cld.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	04:00	DTRD	is	"DTR[D=cru_ts4.03.1901.2018.dtr.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	05:00	TMPD	is	"TMP[D=cru_ts4.03.1901.2018.tmp.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	06:00	TMND	is	"TMN[D=cru_ts4.03.1901.2018.tmn.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	07:00	TMXD	is	"TMX[D=cru_ts4.03.1901.2018.tmx.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	08:00	VAPD	is	"VAP[D=cru_ts4.03.1901.2018.vap.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	09:00	WETD	is	"WET[D=cru_ts4.03.1901.2018.wet.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
	Column	10:00	FRSD	is	"FRS[D=cru_ts4.03.1901.2018.frs.dat,X=35.57,Y=3.31,T=01-JAN-1960:31-DEC-2010]"								
				PRED	PETD	CLDD	DTRD	TMPD	TMND	TMXD	VAPD	WETD	FRSD
16-Nov-64	0	/	767:00:00	4.1	6.1	44.2	11.5	28.3	22.6	34.1	17.6	2.35	0
16-Dec-64	0	/	768:00:00	51.5	5.3	61.8	12.2	27.3	21.2	33.4	16.9	10.59	0
16-Jan-65	0	/	769:00:00	5.3	6.3	43	13.7	27.9	21.1	34.8	15.9	4.01	0
15-Feb-65	0	/	770:00:00	4.5	6.8	38.7	14.1	28.6	21.6	35.7	16.2	2.57	0
16-Mar-65	0	/	771:00:00	22.1	6.7	49.1	12.9	29.6	23.2	36.1	18.8	5.66	0
16-Apr-65	0	/	772:00:00	54.9	5.6	60.9	11.3	28.7	23.1	34.4	20.9	8.37	0
16-May-65	0	/	773:00:00	8.3	5.9	49.3	11.1	29.2	23.7	34.8	20.6	3.22	0
16-Jun-65	0	/	774:00:00	3.2	5.8	43.9	10.9	28.1	22.7	33.6	19.3	2.5	0
16-Jul-65	0	/	775:00:00	7.6	5.6	53.6	10.2	27.6	22.5	32.7	19	3.13	0
16-Aug-65	0	/	776:00:00	2.4	5.8	52.4	10.3	27.5	22.4	32.7	18.4	2.83	0
16-Sep-65	0	/	777:00:00	1.2	6.5	42.4	11.5	29	23.3	34.8	18.3	2.12	0
16-Oct-65	0	/	778:00:00	11.4	6.2	56.4	10.7	29	23.7	34.4	18.4	6.08	0
16-Nov-65	0	/	779:00:00	38.4	5.5	61	10.4	28	22.8	33.2	18.3	7.7	0
16-Dec-65	0	/	780:00:00	8.2	5.8	48.2	12.9	28.6	22.2	35.1	17.6	2.69	0
16-Jan-66	0	/	781:00:00	0.8	6.3	45.7	13.6	28.8	22	35.6	16.8	0.65	0
15-Feb-66	0	/	782:00:00	38.2	6.3	55.6	12.5	29.5	23.3	35.8	18.4	9.48	0
16-Mar-66	0	/	783:00:00	34.1	6.2	66	12	29.5	23.5	35.5	19.5	6.32	0
16-Apr-66	0	/	784:00:00	113.4	5.4	70	10.9	28.6	23.2	34.1	21	11.58	0
16-May-66	0	/	785:00:00	10.1	5.8	46.6	10.9	28.9	23.5	34.4	21.1	3.88	0
16-Jun-66	0	/	786:00:00	2.9	5.8	47	10.7	28.3	23	33.7	19.7	2.14	0
16-Jul-66	0	/	787:00:00	9.1	5.4	59	9.8	27.8	22.9	32.7	19.6	3.66	0
16-Aug-66	0	/	788:00:00	11.6	5.9	52.1	10.3	27.6	22.5	32.8	18.3	10.31	0
16-Sep-66	0	/	789:00:00	3.7	6.4	45.8	11.3	28.9	23.3	34.6	18.2	3.7	0
16-Oct-66	0	/	790:00:00	13.9	6.5	47.8	11.3	29.2	23.6	34.9	18.4	8.62	0
16-Nov-66	0	/	791:00:00	23.1	5.8	52.6	11.1	28	22.5	33.6	17.8	6.29	0
16-Dec-66	0	/	792:00:00	4.5	6.2	34.1	13.7	28.4	21.6	35.3	17	2.09	0
16-Jan-67	0	/	793:00:00	0.2	6.8	27	14.7	28.2	20.9	35.6	15.3	0.41	0
15-Feb-67	0	/	794:00:00	5	7	36.6	14	29.5	22.5	36.5	16.9	3.68	0
16-Mar-67	0	/	795:00:00	22.9	6.7	49.1	12.8	29.9	23.5	36.3	19.4	5.86	0
16-Apr-67	0	/	796:00:00	86.7	5.7	62.5	11.2	29.2	23.6	34.8	21.3	10	0
16-May-67	0	/	797:00:00	46.3	5.5	57	10.3	28.6	23.5	33.8	21	9.06	0
16-Jun-67	0	/	798:00:00	8.7	5.5	56.6	10.3	27.8	22.7	33	19.4	5.92	0
