"","V1"
"166","3.8,3.1,4.6,2.9,2.5,2.6,3,3,3"
"167","4.3,3.3,4.8,3.3,2.9,2.9,3,3.3,3.2"
"168","3.6,3.2,4.6,3.8,3.5,3.8,2.7,3.3,3.3"
"169","4.1,3.4,4.9,3.2,3,4.2,2.6,3.6,3.5"
"170","4.9,3.5,5.4,3.7,3.3,4,2.8,3.7,3.6"
"171","5.2,3.8,5.6,4.1,3.9,4.5,2.9,3.9,3.9"
"172","4.4,3.5,5,4.1,3.7,4.8,2.7,3.6,3.5"
"173","3.2,3.1,3.9,3.8,3.5,4.3,2.2,3.2,3.2"
"174","2.9,3,3.8,3.4,3.1,3.5,2.3,2.9,2.9"
"175","2.5,3,3.7,2.8,2.5,3,2.7,2.9,2.8"
"176","2.5,2.7,3.6,2.7,2.4,2.4,2.9,2.7,2.4"
"177","3,2.9,4,2.8,2.6,2.5,3.3,2.9,2.7"
"178","3.7,3.2,4.2,2.8,2.4,2.5,3.2,3.1,3.1"
"179","4.3,3.3,4.6,3.2,2.7,3.1,3.1,3.3,3.2"
"180","3.7,3.3,4.5,3.6,3.3,3.6,2.6,3.4,3.4"
"181","4.2,3.2,4.8,3.5,3.5,3.9,2.5,3.5,3.3"
"182","4.7,3.5,5,4.2,4.1,3.9,2.6,3.8,3.6"
"183","5.2,3.7,5.3,4,3.6,4.6,3,3.9,3.8"
"184","4.5,3.5,4.9,4.1,3.7,4.7,2.6,3.7,3.6"
"185","3.5,3.3,4.1,3.8,3.5,4.3,2.4,3.4,3.3"
"186","2.9,3.2,3.5,3.4,3.1,3.5,2.4,3.1,3.2"
"187","2.5,2.8,3.5,2.8,2.4,2.9,2.7,2.8,2.7"
"188","2.5,2.8,3.6,2.5,2.3,2.5,3,2.7,2.5"
"189","2.7,2.7,3.8,2.6,2.3,2.5,3,2.6,2.5"
"190","3.5,3,3.9,2.8,2.4,2.6,2.9,2.9,2.9"
"191","4,3,4.2,3.3,2.8,3,2.7,3,3"
"192","3.8,3.3,4.7,3.5,3,3.6,2.6,3.4,3.3"
"193","4.1,3.1,4.7,3.3,3.3,4,2.4,3.4,3.2"
"194","4.8,3.7,5.1,3.7,3.4,4.1,2.8,3.9,3.7"
"195","4.8,3.6,5.2,3.8,3.3,4.4,2.9,3.8,3.8"
"196","4.6,3.4,4.9,3.9,3.6,4.5,2.6,3.6,3.5"
"197","3.6,3.2,4.1,3.8,3.5,4.2,2.3,3.3,3.3"
"198","2.9,3,3.6,3.4,3.1,3.6,2.2,3,3"
"199","2.7,3,3.8,2.6,2.4,2.9,2.7,3,2.9"
"200","2.6,2.8,3.7,2.6,2.4,2.5,2.9,2.7,2.5"
"201","2.9,2.9,3.9,2.8,2.5,2.6,3.1,2.8,2.7"
"202","3.7,3.3,4.2,3.1,2.7,2.8,3.1,3.2,3.2"
"203","4.2,3.3,4.4,3,2.5,3.1,2.9,3.4,3.2"
"204","3.7,3.1,4.8,3.2,2.6,3.7,2.5,3.2,3.1"
