"Gender","Year","Age","Exposure","Deaths"
"F",1996,21,306603,101
"F",1996,22,322984,92
"F",1996,23,344863,105
"F",1996,24,366753,112
"F",1996,25,380598,125
"F",1996,26,387161,147
"F",1996,27,394934,154
"F",1996,28,403399,170
"F",1996,29,411283,166
"F",1996,30,417792,188
"F",1996,31,420595,182
"F",1996,32,418782,229
"F",1996,33,412359,233
"F",1996,34,403096,258
"F",1996,35,390786,262
"F",1996,36,378560,287
"F",1996,37,369513,289
"F",1996,38,362122,331
"F",1996,39,352444,331
"F",1996,40,341569,350
"F",1996,41,335486,408
"F",1996,42,334840,438
"F",1996,43,333616,491
"F",1996,44,332245,471
"F",1996,45,335793,568
"F",1996,46,344944,639
"F",1996,47,359625,729
"F",1996,48,382462,823
"F",1996,49,381458,918
"F",1996,50,345543,945
"F",1997,20,287069,80
"F",1997,21,296450,91
"F",1997,22,309914,96
"F",1997,23,326585,94
"F",1997,24,347696,129
"F",1997,25,369508,120
"F",1997,26,382946,120
"F",1997,27,389197,118
"F",1997,28,396556,134
"F",1997,29,404872,187
"F",1997,30,412547,163
"F",1997,31,418499,217
"F",1997,32,420915,207
"F",1997,33,418863,227
"F",1997,34,412242,225
"F",1997,35,402486,296
"F",1997,36,390812,300
"F",1997,37,378251,314
"F",1997,38,369346,325
"F",1997,39,362264,358
"F",1997,40,352307,358
"F",1997,41,341563,362
"F",1997,42,335445,416
"F",1997,43,334717,476
"F",1997,44,333507,532
"F",1997,45,331766,538
"F",1997,46,335391,591
"F",1997,47,344176,758
"F",1997,48,358975,803
"F",1997,49,381580,881
"F",1997,50,380333,1056
"F",1998,20,292120,89
"F",1998,21,290535,97
"F",1998,22,300668,109
"F",1998,23,314092,88
"F",1998,24,330286,97
"F",1998,25,351554,139
"F",1998,26,372927,113
"F",1998,27,385794,139
"F",1998,28,391378,145
"F",1998,29,398505,158
"F",1998,30,406622,198
"F",1998,31,413735,191
"F",1998,32,419214,178
"F",1998,33,421228,234
"F",1998,34,418826,229
"F",1998,35,411882,252
"F",1998,36,402652,287
"F",1998,37,390543,293
"F",1998,38,378190,320
"F",1998,39,369530,342
"F",1998,40,362038,370
"F",1998,41,352298,418
"F",1998,42,341576,401
"F",1998,43,335521,447
"F",1998,44,334781,548
"F",1998,45,333053,571
"F",1998,46,331489,586
"F",1998,47,334798,637
"F",1998,48,343550,738
"F",1998,49,358313,871
"F",1998,50,380548,1036
"F",1999,20,306680,92
"F",1999,21,295264,87
"F",1999,22,295492,100
"F",1999,23,306214,81
"F",1999,24,318957,110
"F",1999,25,335930,90
"F",1999,26,356574,125
"F",1999,27,377337,121
"F",1999,28,389394,174
"F",1999,29,394268,147
"F",1999,30,401217,171
"F",1999,31,408514,174
"F",1999,32,415347,199
"F",1999,33,420278,236
"F",1999,34,421735,231
"F",1999,35,418997,272
"F",1999,36,412454,309
"F",1999,37,402582,311
"F",1999,38,390745,302
"F",1999,39,378604,348
"F",1999,40,369487,364
"F",1999,41,362290,416
"F",1999,42,352546,457
"F",1999,43,341835,490
"F",1999,44,335986,517
"F",1999,45,334718,563
"F",1999,46,332971,593
"F",1999,47,331251,669
"F",1999,48,334438,763
"F",1999,49,343045,837
"F",1999,50,357661,993
"F",2000,20,319114,93
"F",2000,21,309782,92
"F",2000,22,300407,91
"F",2000,23,302297,96
"F",2000,24,312059,94
"F",2000,25,325450,118
"F",2000,26,341668,118
"F",2000,27,361769,125
"F",2000,28,382031,136
"F",2000,29,392920,147
"F",2000,30,397580,177
"F",2000,31,403533,192
"F",2000,32,410687,188
"F",2000,33,417057,226
"F",2000,34,421437,261
"F",2000,35,422263,291
"F",2000,36,419694,315
"F",2000,37,412367,298
"F",2000,38,402811,348
"F",2000,39,391202,338
"F",2000,40,378577,398
"F",2000,41,369733,424
"F",2000,42,362524,455
"F",2000,43,352691,503
"F",2000,44,342234,504
"F",2000,45,336050,536
"F",2000,46,334602,641
"F",2000,47,332742,678
"F",2000,48,330944,689
"F",2000,49,334007,789
"F",2000,50,342469,924
"M",1985,20,426543,404
"M",1985,21,427427,386
"M",1985,22,419243,348
"M",1985,23,408881,313
"M",1985,24,397915,287
"M",1985,25,384608,281
"M",1985,26,371402,279
"M",1985,27,360705,272
"M",1985,28,350804,301
"M",1985,29,341810,272
"M",1985,30,336759,289
"M",1985,31,336479,284
"M",1985,32,335171,321
"M",1985,33,333467,322
"M",1985,34,338077,332
"M",1985,35,347831,398
"M",1985,36,362802,459
"M",1985,37,387911,492
"M",1985,38,390092,511
"M",1985,39,353060,558
"M",1985,40,329477,637
"M",1985,41,325960,631
"M",1985,42,311833,670
"M",1985,43,288814,709
"M",1985,44,275575,711
"M",1985,45,279112,896
"M",1985,46,283923,1015
"M",1985,47,282956,1035
"M",1985,48,279395,1195
"M",1985,49,274874,1291
"M",1985,50,269578,1429
"M",1986,20,419049,357
"M",1986,21,426114,368
"M",1986,22,425938,368
"M",1986,23,417997,343
"M",1986,24,408036,310
"M",1986,25,397725,296
"M",1986,26,384074,305
"M",1986,27,370976,309
"M",1986,28,360310,306
"M",1986,29,350351,284
"M",1986,30,341717,294
"M",1986,31,336391,287
"M",1986,32,336145,342
"M",1986,33,335032,318
"M",1986,34,333246,363
"M",1986,35,337670,346
"M",1986,36,347333,425
"M",1986,37,362349,500
"M",1986,38,387585,543
"M",1986,39,389906,593
"M",1986,40,352951,602
"M",1986,41,328856,609
"M",1986,42,325298,675
"M",1986,43,311074,736
"M",1986,44,287977,738
"M",1986,45,274625,838
"M",1986,46,277897,977
"M",1986,47,282741,1064
"M",1986,48,281726,1167
"M",1986,49,278030,1306
"M",1986,50,273562,1456
"M",1987,20,410559,361
"M",1987,21,418895,407
"M",1987,22,424601,362
"M",1987,23,424501,344
"M",1987,24,416655,337
"M",1987,25,407277,316
"M",1987,26,396947,330
"M",1987,27,383343,312
"M",1987,28,370203,286
"M",1987,29,359512,262
"M",1987,30,350022,330
"M",1987,31,341136,337
"M",1987,32,335868,322
"M",1987,33,335807,355
"M",1987,34,334610,368
"M",1987,35,332619,377
"M",1987,36,336990,417
"M",1987,37,346795,431
"M",1987,38,361988,485
"M",1987,39,387397,565
"M",1987,40,389783,624
"M",1987,41,352249,645
"M",1987,42,328094,721
"M",1987,43,324453,741
"M",1987,44,310066,817
"M",1987,45,287010,811
"M",1987,46,273388,911
"M",1987,47,276597,1043
"M",1987,48,281442,1081
"M",1987,49,280342,1257
"M",1987,50,276620,1439
"M",1988,20,401823,378
"M",1988,21,410787,360
"M",1988,22,417764,364
"M",1988,23,422921,370
"M",1988,24,422659,330
"M",1988,25,415371,334
"M",1988,26,406062,319
"M",1988,27,396121,317
"M",1988,28,382399,335
"M",1988,29,369238,309
"M",1988,30,359187,323
"M",1988,31,349414,315
"M",1988,32,340588,351
"M",1988,33,335603,382
"M",1988,34,335371,382
"M",1988,35,333905,381
"M",1988,36,331859,406
"M",1988,37,336292,408
"M",1988,38,346343,464
"M",1988,39,361597,560
"M",1988,40,387043,631
"M",1988,41,389194,759
"M",1988,42,351532,648
"M",1988,43,327244,765
"M",1988,44,323353,833
"M",1988,45,309145,883
"M",1988,46,285822,926
"M",1988,47,272152,968
"M",1988,48,275297,1156
"M",1988,49,280041,1259
"M",1988,50,278959,1427
"M",1989,20,393425,343
"M",1989,21,402411,346
"M",1989,22,410129,356
"M",1989,23,416167,347
"M",1989,24,421465,390
"M",1989,25,421973,371
"M",1989,26,414276,324
"M",1989,27,405267,333
"M",1989,28,395383,336
"M",1989,29,381834,328
"M",1989,30,368954,321
"M",1989,31,358466,336
"M",1989,32,348983,326
"M",1989,33,340476,368
"M",1989,34,335197,337
"M",1989,35,334686,400
"M",1989,36,333113,454
"M",1989,37,331114,466
"M",1989,38,335873,492
"M",1989,39,345978,531
"M",1989,40,361346,599
"M",1989,41,386838,663
"M",1989,42,388557,787
"M",1989,43,350605,716
"M",1989,44,326189,839
"M",1989,45,322521,920
"M",1989,46,307889,970
"M",1989,47,284630,1047
"M",1989,48,270941,1035
"M",1989,49,273933,1211
"M",1989,50,278799,1333
"M",1990,20,386306,372
"M",1990,21,393967,362
"M",1990,22,401859,388
"M",1990,23,409050,400
"M",1990,24,415798,367
"M",1990,25,421577,385
"M",1990,26,420924,402
"M",1990,27,413276,377
"M",1990,28,404553,376
"M",1990,29,394800,387
"M",1990,30,381328,346
"M",1990,31,367889,365
"M",1990,32,357960,381
"M",1990,33,348736,344
"M",1990,34,340072,351
"M",1990,35,334401,386
"M",1990,36,333888,433
"M",1990,37,332581,474
"M",1990,38,330770,489
"M",1990,39,335827,528
"M",1990,40,346119,549
"M",1990,41,361304,701
"M",1990,42,386053,810
"M",1990,43,387526,915
"M",1990,44,349735,775
"M",1990,45,325234,944
"M",1990,46,321204,1013
"M",1990,47,306601,1086
"M",1990,48,283455,1039
"M",1990,49,269782,1109
"M",1990,50,272767,1328
"M",1991,20,380279,322
"M",1991,21,386206,335
"M",1991,22,393092,348
"M",1991,23,400821,389
"M",1991,24,408371,366
"M",1991,25,415290,367
"M",1991,26,419956,388
"M",1991,27,419237,348
"M",1991,28,411695,346
"M",1991,29,403089,365
"M",1991,30,393845,373
"M",1991,31,379855,379
"M",1991,32,367021,374
"M",1991,33,357630,366
"M",1991,34,348557,381
"M",1991,35,339360,400
"M",1991,36,333706,425
"M",1991,37,333412,489
"M",1991,38,331974,488
"M",1991,39,330624,579
"M",1991,40,335786,559
"M",1991,41,345702,630
"M",1991,42,360389,771
"M",1991,43,385147,855
"M",1991,44,386857,964
"M",1991,45,348211,876
"M",1991,46,324279,1093
"M",1991,47,320112,968
"M",1991,48,305289,1159
"M",1991,49,282413,1166
"M",1991,50,268489,1246
"M",1992,20,368563,285
"M",1992,21,379728,333
"M",1992,22,385378,337
"M",1992,23,391883,316
"M",1992,24,399395,350
"M",1992,25,407574,316
"M",1992,26,413829,355
